;Fecha;Ubicacion;Temperatura;Humedad;Presion;VelocidadViento;DireccionViento;Precipitacion;PuntoRocio;VelocidadVehiculo;LongitudVehiculo;Humo
0;14/08/2020 21:26;Monteros - Rio Caspichango;;;;;;;;33;0;0
1;29/04/2020 16:13;Aguilares - Concepcion;;;;;;;;88;9;0
2;16/04/2020 11:15;Monteros - Rio Caspichango;;;;;;;;83;12;1
3;24/12/2020 17:45;Rumi Punco - Pueblo Viejo;;;;;;;;116;6;0
4;10/02/2020 15:14;Concepcion - Rio Seco;;;;;;;;89;17;1
5;29/10/2020 20:00;Interseccion ruta 322 - Interseccion ruta 321;;;;;;;;4;13;0
6;30/05/2020 20:07;Villa Belgrano - Aguilares;;;;;;;;59;11;0
7;18/02/2020 12:23;Concepcion - Rio Seco;;;;;;;;83;5;0
8;27/11/2020 14:17;Interseccion ruta 322 - Interseccion ruta 321;;;;;;;;41;0;1
9;02/01/2020 13:01;Rio Seco - Monteros;;;;;;;;77;13;1
10;02/09/2020 14:54;Interseccion ruta 321 - S M de Tuc;;;;;;;;84;11;1
11;16/06/2020 20:24;Interseccion ruta 321 - S M de Tuc;;;;;;;;89;0;0
12;09/12/2020 22:21;Interseccion ruta 321 - S M de Tuc;;;;;;;;114;11;0
13;07/04/2020 18:26;Pueblo Viejo - Rio el Sueño;;;;;;;;107;6;0
14;27/01/2021 09:25;Rio el Sueño - Huasa Pampa;;;;;;;;98;19;1
15;25/03/2020 01:04;Monteros - Rio Caspichango;;;;;;;;112;20;1
16;02/12/2020 15:34;Huasa Pampa - Rio Marapa;;;;;;;;104;14;1
17;10/03/2021 00:16;Aguilares - Concepcion;;;;;;;;58;4;0
18;21/04/2021 20:36;Interseccion ruta 322 - Interseccion ruta 321;;;;;;;;108;0;1
19;23/06/2020 15:28;Concepcion - Rio Seco;;;;;;;;73;9;0
20;30/06/2020 04:09;Rio el Sueño - Huasa Pampa;;;;;;;;33;19;1
21;16/02/2021 22:05;Rumi Punco - Pueblo Viejo;;;;;;;;82;13;1
22;12/01/2020 01:21;Huasa Pampa - Rio Marapa;;;;;;;;102;2;0
23;05/02/2020 22:33;Interseccion ruta 322 - Interseccion ruta 321;;;;;;;;18;13;0
24;01/09/2020 04:41;Rio Marapa - Villa Belgrano;;;;;;;;71;16;1
25;16/07/2020 03:32;Rio Caspichango - Interseccion ruta 322;;;;;;;;24;6;0
26;07/01/2020 09:35;Rio Marapa - Villa Belgrano;;;;;;;;23;16;1
27;16/04/2020 16:23;Villa Belgrano - Aguilares;;;;;;;;1;19;0
28;30/01/2020 09:03;Rumi Punco - Pueblo Viejo;;;;;;;;116;4;0
