;Fecha;Ubicacion;Temperatura;Humedad;Presion;VelocidadViento;DireccionViento;Precipitacion;PuntoRocio;VelocidadVehiculo;LongitudVehiculo;Humo
0;14/07/2020 08:13;Interseccion ruta 321 - S M de Tuc;6;73.5;1023;45;244;22;5;0;0;0
1;23/05/2020 00:03;Concepcion - Rio Seco;8;73.6;1023;19;245;28;7;0;0;0
2;22/07/2020 23:59;Rio Marapa - Villa Belgrano;14;73.7;1022;42;246;49;13;0;0;0
3;25/01/2020 19:58;Rumi Punco - Pueblo Viejo;1;73.8;1024;12;247;52;0;0;0;0
4;26/11/2020 05:35;Rumi Punco - Pueblo Viejo;15;73.9;1025;4;248;54;14;0;0;0
5;17/02/2020 03:41;Rio Marapa - Villa Belgrano;5;73.10;1025;51;249;63;4;0;0;0
6;04/01/2020 13:41;Interseccion ruta 321 - S M de Tuc;9;73.11;1024;15;250;48;8;0;0;0
7;21/02/2021 04:09;Monteros - Rio Caspichango;6;73.12;1021;6;251;54;5;0;0;0
8;06/03/2020 04:56;Rio el Sueño - Huasa Pampa;3;73.13;1023;67;252;6;2;0;0;0
9;08/03/2020 21:32;Rio Marapa - Villa Belgrano;4;73.14;1020;19;253;29;3;0;0;0
10;09/04/2021 17:08;Rio Marapa - Villa Belgrano;7;73.15;1025;69;254;35;6;0;0;0
11;07/05/2020 08:02;Rio el Sueño - Huasa Pampa;14;73.16;1020;3;255;25;13;0;0;0
12;11/05/2020 05:21;Rio Marapa - Villa Belgrano;10;73.17;1021;45;256;37;9;0;0;0
13;02/12/2020 08:00;Rio Marapa - Villa Belgrano;1;73.18;1023;59;257;8;0;0;0;0
14;20/09/2020 08:20;Interseccion ruta 322 - Interseccion ruta 321;6;73.19;1026;21;258;51;5;0;0;0
15;30/07/2020 00:52;Pueblo Viejo - Rio el Sueño;8;73.20;1024;48;259;14;7;0;0;0
16;03/05/2020 05:08;Rumi Punco - Pueblo Viejo;13;73.21;1021;39;260;29;12;0;0;0
17;17/03/2021 14:38;Villa Belgrano - Aguilares;14;73.22;1020;3;261;10;13;0;0;0
