,fechas,lluvia
0,2020-11-05 21:31:44.433218,2
1,2020-11-05 21:31:54.433218,2
2,2020-11-05 21:32:04.433218,2
3,2020-11-05 21:32:14.433218,2
4,2020-11-05 21:32:24.433218,2
5,2020-11-05 21:32:34.433218,0
6,2020-11-05 21:32:44.433218,0
7,2020-11-05 21:32:54.433218,0
8,2020-11-05 21:33:04.433218,2
9,2020-11-05 21:33:14.433218,0
10,2020-11-05 21:33:24.433218,15
11,2020-11-05 21:33:34.433218,12
12,2020-11-05 21:33:44.433218,7
13,2020-11-05 21:33:54.433218,13
14,2020-11-05 21:34:04.433218,13
15,2020-11-05 21:34:14.433218,15
16,2020-11-05 21:34:24.433218,5
17,2020-11-05 21:34:34.433218,9
18,2020-11-05 21:34:44.433218,15
19,2020-11-05 21:34:54.433218,11
20,2020-11-05 21:35:04.433218,15
21,2020-11-05 21:35:14.433218,12
22,2020-11-05 21:35:24.433218,3
23,2020-11-05 21:35:34.433218,10
24,2020-11-05 21:35:44.433218,10
25,2020-11-05 21:35:54.433218,9
26,2020-11-05 21:36:04.433218,7
27,2020-11-05 21:36:14.433218,13
28,2020-11-05 21:36:24.433218,10
29,2020-11-05 21:36:34.433218,15
30,2020-11-05 21:36:44.433218,23
31,2020-11-05 21:36:54.433218,20
32,2020-11-05 21:37:04.433218,18
33,2020-11-05 21:37:14.433218,21
34,2020-11-05 21:37:24.433218,16
35,2020-11-05 21:37:34.433218,24
36,2020-11-05 21:37:44.433218,27
37,2020-11-05 21:37:54.433218,16
38,2020-11-05 21:38:04.433218,22
39,2020-11-05 21:38:14.433218,19
40,2020-11-05 21:38:24.433218,21
41,2020-11-05 21:38:34.433218,17
42,2020-11-05 21:38:44.433218,23
43,2020-11-05 21:38:54.433218,18
44,2020-11-05 21:39:04.433218,28
45,2020-11-05 21:39:14.433218,28
46,2020-11-05 21:39:24.433218,29
47,2020-11-05 21:39:34.433218,17
48,2020-11-05 21:39:44.433218,23
49,2020-11-05 21:39:54.433218,16
50,2020-11-05 21:40:04.433218,24
51,2020-11-05 21:40:14.433218,26
52,2020-11-05 21:40:24.433218,20
53,2020-11-05 21:40:34.433218,21
54,2020-11-05 21:40:44.433218,26
55,2020-11-05 21:40:54.433218,29
56,2020-11-05 21:41:04.433218,24
57,2020-11-05 21:41:14.433218,21
58,2020-11-05 21:41:24.433218,19
59,2020-11-05 21:41:34.433218,21
60,2020-11-05 21:41:44.433218,24
61,2020-11-05 21:41:54.433218,18
62,2020-11-05 21:42:04.433218,21
63,2020-11-05 21:42:14.433218,16
64,2020-11-05 21:42:24.433218,17
65,2020-11-05 21:42:34.433218,26
66,2020-11-05 21:42:44.433218,26
67,2020-11-05 21:42:54.433218,30
68,2020-11-05 21:43:04.433218,30
69,2020-11-05 21:43:14.433218,28
