;Fecha;Ubicacion;Temperatura;Humedad;Presion;VelocidadViento;DireccionViento;Precipitacion;PuntoRocio;VelocidadVehiculo;LongitudVehiculo;Humo
0;01/04/2020 09:15;Rio Marapa - Villa Belgrano;7;73.829;1022;17;244;62;6;;;0
1;01/04/2020 11:29;Villa Belgrano - Aguilares;6;73.723;1026;37;244;20;5;;;0
2;01/04/2020 20:31;Pueblo Viejo - Rio el Sueño;10;73.457;1019;60;244;57;9;;;0
3;01/04/2020 22:15;Huasa Pampa - Rio Marapa;11;73.65;1023;57;244;52;10;;;0
4;02/04/2020 12:31;Interseccion ruta 322 - Interseccion ruta 321;9;73.176;1020;20;244;23;8;;;0
5;02/04/2020 15:29;Villa Belgrano - Aguilares;1;73.415;1023;58;244;51;0;;;0
6;03/04/2020 00:14;Concepcion - Rio Seco;3;73.328;1022;47;244;11;2;;;0
7;03/04/2020 04:25;Concepcion - Rio Seco;12;73.1009;1025;49;244;49;11;;;0
8;03/04/2020 13:34;Interseccion ruta 322 - Interseccion ruta 321;8;73.613;1019;2;244;0;7;;;0
9;03/04/2020 18:23;Rio Seco - Monteros;1;73.420;1020;17;244;63;0;;;0
10;04/04/2020 08:49;Aguilares - Concepcion;14;73.599;1019;24;244;45;13;;;0
11;04/04/2020 12:28;Rio el Sueño - Huasa Pampa;5;73.180;1026;25;244;10;4;;;0
12;04/04/2020 15:14;Villa Belgrano - Aguilares;12;73.645;1022;50;244;19;11;;;0
13;04/04/2020 19:21;Villa Belgrano - Aguilares;14;73.773;1020;9;244;56;13;;;0
14;04/04/2020 19:56;Rio Marapa - Villa Belgrano;7;73.968;1026;3;244;40;6;;;0
15;04/04/2020 21:45;Villa Belgrano - Aguilares;7;73.949;1023;65;244;23;6;;;0
16;04/04/2020 23:54;Interseccion ruta 322 - Interseccion ruta 321;5;73.293;1026;55;244;59;4;;;0
17;05/04/2020 01:01;Aguilares - Concepcion;8;73.40;1024;34;244;57;7;;;0
18;05/04/2020 07:53;Rio Seco - Monteros;2;73.108;1021;25;244;51;1;;;0
19;05/04/2020 21:04;Huasa Pampa - Rio Marapa;13;73.739;1024;8;244;32;12;;;0
20;06/04/2020 15:16;Aguilares - Concepcion;10;73.802;1024;35;244;51;9;;;0
21;06/04/2020 18:27;Rio Marapa - Villa Belgrano;9;73.927;1023;9;244;50;8;;;0
22;07/04/2020 09:44;Interseccion ruta 321 - S M de Tuc;2;73.806;1021;51;244;36;1;;;0
23;07/04/2020 11:02;Pueblo Viejo - Rio el Sueño;8;73.515;1021;56;244;31;7;;;0
24;07/04/2020 11:05;Rio el Sueño - Huasa Pampa;3;73.906;1019;47;244;45;2;;;0
25;07/04/2020 11:31;Aguilares - Concepcion;14;73.511;1026;38;244;11;13;;;0
26;07/04/2020 20:09;Rio el Sueño - Huasa Pampa;13;73.860;1024;23;244;52;12;;;0
27;07/04/2020 20:58;Rio el Sueño - Huasa Pampa;10;73.145;1025;65;244;21;9;;;0
28;07/04/2020 21:19;Concepcion - Rio Seco;13;73.782;1024;39;244;60;12;;;0
29;07/04/2020 23:51;Villa Belgrano - Aguilares;2;73.193;1026;28;244;62;1;;;0
30;08/04/2020 06:20;Rio Marapa - Villa Belgrano;2;73.488;1021;15;244;41;1;;;0
31;08/04/2020 07:38;Aguilares - Concepcion;9;73.280;1019;42;244;14;8;;;0
32;08/04/2020 23:33;Monteros - Rio Caspichango;6;73.642;1026;8;244;32;5;;;0
33;09/04/2020 04:00;Rio Seco - Monteros;1;73.137;1022;10;244;12;0;;;0
34;09/04/2020 08:21;Rio Marapa - Villa Belgrano;4;73.45;1024;2;244;14;3;;;0
35;09/04/2020 11:48;Villa Belgrano - Aguilares;13;73.724;1023;68;244;4;12;;;0
36;09/04/2020 19:54;Aguilares - Concepcion;5;73.521;1026;28;244;14;4;;;0
37;10/04/2020 00:12;Pueblo Viejo - Rio el Sueño;11;73.752;1023;57;244;14;10;;;0
38;10/04/2020 04:06;Huasa Pampa - Rio Marapa;4;73.961;1023;26;244;66;3;;;0
39;10/04/2020 13:44;Rio el Sueño - Huasa Pampa;3;73.440;1026;54;244;32;2;;;0
40;10/04/2020 16:41;Aguilares - Concepcion;4;73.933;1020;34;244;22;3;;;0
41;10/04/2020 17:51;Pueblo Viejo - Rio el Sueño;11;73.273;1019;17;244;4;10;;;0
42;10/04/2020 19:20;Concepcion - Rio Seco;10;73.861;1019;32;244;7;9;;;0
43;11/04/2020 13:33;Pueblo Viejo - Rio el Sueño;3;73.695;1022;15;244;34;2;;;0
44;11/04/2020 16:04;Rio Caspichango - Interseccion ruta 322;9;73.799;1019;63;244;4;8;;;0
45;11/04/2020 20:45;Rio Seco - Monteros;9;73.825;1020;62;244;19;8;;;0
46;12/04/2020 02:39;Monteros - Rio Caspichango;7;73.609;1023;61;244;52;6;;;0
47;12/04/2020 11:14;Aguilares - Concepcion;10;73.329;1021;68;244;18;9;;;0
48;12/04/2020 12:21;Rio Seco - Monteros;3;73.594;1020;42;244;12;2;;;0
49;12/04/2020 13:59;Monteros - Rio Caspichango;15;73.206;1023;0;244;21;14;;;0
50;12/04/2020 17:04;Huasa Pampa - Rio Marapa;3;73.875;1025;61;244;17;2;;;0
51;12/04/2020 19:51;Concepcion - Rio Seco;9;73.629;1023;27;244;51;8;;;0
52;13/04/2020 20:52;Rio Marapa - Villa Belgrano;5;73.410;1023;48;244;15;4;;;0
53;14/04/2020 04:01;Villa Belgrano - Aguilares;3;73.577;1021;10;244;65;2;;;0
54;15/04/2020 23:11;Interseccion ruta 321 - S M de Tuc;2;73.719;1020;64;244;34;1;;;0
55;16/04/2020 01:05;Villa Belgrano - Aguilares;7;73.358;1023;54;244;38;6;;;0
56;16/04/2020 03:43;Interseccion ruta 321 - S M de Tuc;8;73.211;1021;22;244;47;7;;;0
57;16/04/2020 18:18;Concepcion - Rio Seco;8;73.398;1026;19;244;27;7;;;0
58;16/04/2020 21:01;Rumi Punco - Pueblo Viejo;5;73.512;1021;61;244;27;4;;;0
59;17/04/2020 02:22;Interseccion ruta 322 - Interseccion ruta 321;3;73.443;1024;2;244;9;2;;;0
60;17/04/2020 06:40;Rio el Sueño - Huasa Pampa;14;73.197;1023;55;244;57;13;;;0
61;18/04/2020 00:45;Concepcion - Rio Seco;5;73.817;1021;49;244;33;4;;;0
62;18/04/2020 17:04;Rio Seco - Monteros;4;73.391;1019;47;244;15;3;;;0
63;19/04/2020 14:13;Rio Seco - Monteros;2;73.503;1024;43;244;51;1;;;0
64;19/04/2020 15:05;Huasa Pampa - Rio Marapa;10;73.352;1021;4;244;34;9;;;0
65;19/04/2020 20:18;Rio Seco - Monteros;14;73.317;1022;57;244;35;13;;;0
66;19/04/2020 22:26;Interseccion ruta 321 - S M de Tuc;10;73.557;1024;62;244;0;9;;;0
67;20/04/2020 02:03;Concepcion - Rio Seco;10;73.871;1026;55;244;10;9;;;0
68;20/04/2020 16:59;Rio Marapa - Villa Belgrano;2;73.337;1019;9;244;51;1;;;0
69;20/04/2020 18:08;Rumi Punco - Pueblo Viejo;3;73.373;1022;69;244;14;2;;;0
70;20/04/2020 19:50;Monteros - Rio Caspichango;10;73.348;1024;1;244;9;9;;;0
71;21/04/2020 08:48;Aguilares - Concepcion;9;73.737;1022;8;244;32;8;;;0
72;21/04/2020 20:42;Rumi Punco - Pueblo Viejo;7;73.994;1022;53;244;0;6;;;0
73;21/04/2020 23:47;Rio Caspichango - Interseccion ruta 322;6;73.209;1024;43;244;13;5;;;0
74;22/04/2020 09:06;Aguilares - Concepcion;3;73.192;1019;39;244;26;2;;;0
75;22/04/2020 11:46;Aguilares - Concepcion;5;73.617;1023;33;244;9;4;;;0
76;22/04/2020 20:36;Concepcion - Rio Seco;5;73.547;1023;56;244;59;4;;;0
77;23/04/2020 08:05;Rio Seco - Monteros;3;73.549;1022;28;244;1;2;;;0
78;23/04/2020 11:11;Rio el Sueño - Huasa Pampa;13;73.101;1023;7;244;56;12;;;0
79;23/04/2020 15:45;Rio Caspichango - Interseccion ruta 322;1;73.231;1019;54;244;30;0;;;0
80;23/04/2020 16:54;Villa Belgrano - Aguilares;14;73.561;1024;67;244;59;13;;;0
81;24/04/2020 05:36;Aguilares - Concepcion;13;73.945;1019;27;244;63;12;;;0
82;24/04/2020 08:58;Rumi Punco - Pueblo Viejo;4;73.828;1022;8;244;38;3;;;0
83;24/04/2020 13:30;Rio Seco - Monteros;5;73.477;1021;46;244;26;4;;;0
84;25/04/2020 00:04;Interseccion ruta 321 - S M de Tuc;14;73.831;1023;26;244;10;13;;;0
85;25/04/2020 07:18;Rio Marapa - Villa Belgrano;8;73.854;1020;52;244;58;7;;;0
86;25/04/2020 14:12;Villa Belgrano - Aguilares;15;73.1024;1020;27;244;2;14;;;0
87;26/04/2020 02:36;Pueblo Viejo - Rio el Sueño;6;73.904;1020;63;244;42;5;;;0
88;26/04/2020 09:52;Concepcion - Rio Seco;1;73.143;1023;13;244;28;0;;;0
89;27/04/2020 02:03;Rumi Punco - Pueblo Viejo;5;73.10;1022;66;244;18;4;;;0
90;27/04/2020 04:37;Rio el Sueño - Huasa Pampa;3;73.210;1024;15;244;65;2;;;0
91;27/04/2020 08:35;Concepcion - Rio Seco;4;73.822;1023;25;244;58;3;;;0
92;27/04/2020 15:14;Pueblo Viejo - Rio el Sueño;3;73.658;1020;28;244;30;2;;;0
93;27/04/2020 22:01;Rio Caspichango - Interseccion ruta 322;8;73.565;1025;21;244;45;7;;;0
94;29/04/2020 12:34;Monteros - Rio Caspichango;11;73.1010;1022;13;244;5;10;;;0
95;01/05/2020 07:19;Concepcion - Rio Seco;14;73.331;1023;5;244;40;13;;;0
96;01/05/2020 08:10;Pueblo Viejo - Rio el Sueño;8;73.771;1022;38;244;10;7;;;0
97;03/05/2020 01:27;Villa Belgrano - Aguilares;7;73.262;1020;23;244;57;6;;;0
98;03/05/2020 01:45;Pueblo Viejo - Rio el Sueño;4;73.361;1020;67;244;48;3;;;0
99;03/05/2020 12:13;Rio Seco - Monteros;8;73.717;1019;38;244;64;7;;;0
100;03/05/2020 19:21;Interseccion ruta 321 - S M de Tuc;4;73.666;1025;53;244;8;3;;;0
101;04/05/2020 17:35;Concepcion - Rio Seco;15;73.884;1026;28;244;64;14;;;0
102;05/05/2020 02:57;Villa Belgrano - Aguilares;3;73.819;1021;70;244;32;2;;;0
103;05/05/2020 08:39;Rio Caspichango - Interseccion ruta 322;2;73.989;1021;57;244;31;1;;;0
104;05/05/2020 09:19;Rio Seco - Monteros;3;73.598;1020;9;244;48;2;;;0
105;06/05/2020 07:10;Pueblo Viejo - Rio el Sueño;11;73.992;1019;13;244;10;10;;;0
106;06/05/2020 14:27;Interseccion ruta 321 - S M de Tuc;1;73.788;1019;2;244;61;0;;;0
107;06/05/2020 20:15;Aguilares - Concepcion;11;73.973;1019;61;244;28;10;;;0
108;07/05/2020 01:37;Concepcion - Rio Seco;2;73.353;1020;35;244;10;1;;;0
109;07/05/2020 02:47;Rio Seco - Monteros;14;73.946;1022;20;244;41;13;;;0
110;07/05/2020 17:03;Pueblo Viejo - Rio el Sueño;13;73.347;1019;45;244;59;12;;;0
111;07/05/2020 19:10;Rumi Punco - Pueblo Viejo;13;73.1026;1021;56;244;28;12;;;0
112;08/05/2020 04:45;Rio el Sueño - Huasa Pampa;14;73.86;1024;33;244;64;13;;;0
113;08/05/2020 07:26;Rio Marapa - Villa Belgrano;7;73.342;1022;40;244;33;6;;;0
114;08/05/2020 08:44;Huasa Pampa - Rio Marapa;14;73.1021;1020;69;244;23;13;;;0
115;09/05/2020 18:01;Rio Seco - Monteros;1;73.20;1023;49;244;5;0;;;0
116;09/05/2020 18:26;Villa Belgrano - Aguilares;5;73.150;1019;2;244;28;4;;;0
117;10/05/2020 00:17;Villa Belgrano - Aguilares;6;73.212;1022;7;244;53;5;;;0
118;10/05/2020 03:04;Huasa Pampa - Rio Marapa;3;73.240;1023;46;244;40;2;;;0
119;10/05/2020 11:47;Rumi Punco - Pueblo Viejo;4;73.872;1024;66;244;63;3;;;0
120;10/05/2020 23:43;Concepcion - Rio Seco;5;73.424;1024;29;244;18;4;;;0
121;11/05/2020 12:58;Interseccion ruta 321 - S M de Tuc;12;73.578;1026;27;244;11;11;;;0
122;12/05/2020 13:13;Interseccion ruta 321 - S M de Tuc;5;73.916;1025;51;244;25;4;;;0
123;12/05/2020 13:43;Interseccion ruta 321 - S M de Tuc;15;73.786;1022;54;244;63;14;;;0
124;13/05/2020 02:14;Monteros - Rio Caspichango;2;73.899;1021;52;244;45;1;;;0
125;13/05/2020 02:45;Huasa Pampa - Rio Marapa;1;73.1019;1025;15;244;50;0;;;0
126;13/05/2020 06:39;Monteros - Rio Caspichango;11;73.742;1024;25;244;17;10;;;0
127;14/05/2020 04:29;Rio el Sueño - Huasa Pampa;9;73.340;1025;55;244;13;8;;;0
